Rules,Support,Confidence
"jika beli BATANG KORDEN 1M, maka beli KORDEN SMOKRING",0.0034959478785952644,0.4731182795698925
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 1M",0.0034959478785952644,0.352
"jika beli BATANG KORDEN 1.5M, maka beli KORDEN SMOKRING",0.002304147465437788,0.4264705882352941
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 1.5M",0.002304147465437788,0.232
"jika beli MAINAN TARIK, maka beli BATU BATRAI DYNAMAX",0.0021452407436834578,0.29347826086956524
"jika beli BATU BATRAI DYNAMAX, maka beli MAINAN TARIK",0.0021452407436834578,0.19014084507042253
"jika beli BATANG KORDEN 2M, maka beli KORDEN SMOKRING",0.0020657873828062927,0.5531914893617021
"jika beli TEAPOT WARNA, maka beli KERTAS KADO",0.0020657873828062927,0.37142857142857144
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 2M",0.0020657873828062927,0.208
"jika beli KERTAS KADO, maka beli TEAPOT WARNA",0.0020657873828062927,0.09285714285714286
"jika beli BATANG KORDEN 1.5M, maka beli BATANG KORDEN 1M",0.0019068806610519624,0.35294117647058826
"jika beli BATANG KORDEN 1M, maka beli BATANG KORDEN 1.5M",0.0019068806610519624,0.25806451612903225
"jika beli MASKER DUCKBIL HITAM, maka beli MASKER DUCKBIL PUTIH",0.0018274273001747973,0.13855421686746988
"jika beli MASKER DUCKBIL PUTIH, maka beli MASKER DUCKBIL HITAM",0.0018274273001747973,0.06515580736543909
"jika beli BATANG KORDEN 2M, maka beli BATANG KORDEN 1M",0.0013507071349118068,0.3617021276595745
"jika beli BATANG KORDEN 1M, maka beli BATANG KORDEN 2M",0.0013507071349118068,0.1827956989247312
"jika beli PENSIL 2B SATUAN BIRU, maka beli PENGHAPUS",0.0010328936914031463,0.52
"jika beli GELAS JUS PORTO, maka beli KERTAS KADO",0.0010328936914031463,0.25
"jika beli PENGHAPUS, maka beli PENSIL 2B SATUAN BIRU",0.0010328936914031463,0.18055555555555555
"jika beli sabun cuci piring b-light, maka beli MINYAK KITA 1L",0.0010328936914031463,0.08125
"jika beli MINYAK KITA 1L, maka beli MASKER DUCKBIL PUTIH",0.0010328936914031463,0.07428571428571429
"jika beli MINYAK KITA 1L, maka beli sabun cuci piring b-light",0.0010328936914031463,0.07428571428571429
"jika beli KERTAS KADO, maka beli GELAS JUS PORTO",0.0010328936914031463,0.04642857142857143
"jika beli MASKER DUCKBIL PUTIH, maka beli MINYAK KITA 1L",0.0010328936914031463,0.036827195467422094
