,Rules,Support,Confidence
47,"jika beli SPREI MY LOVE 180 30CM, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,1.0
92,"jika beli MAINAN TARIK, maka beli BATU BATRAI DYNAMAX",0.03076923076923077,1.0
93,"jika beli BATU BATRAI DYNAMAX, maka beli MAINAN TARIK",0.03076923076923077,1.0
41,"jika beli CUTER TRANSPARAN, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,0.3333333333333333
51,"jika beli AGAR-AGAR INACO 1 KG, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,0.3333333333333333
40,"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli CUTER TRANSPARAN",0.03076923076923077,0.14285714285714285
46,"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli SPREI MY LOVE 180 30CM",0.03076923076923077,0.14285714285714285
50,"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli AGAR-AGAR INACO 1 KG",0.03076923076923077,0.14285714285714285
3,"jika beli RAK SET GANTUNG 3IN1, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,1.0
5,"jika beli NAMPAN 4 SEDENG, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,1.0
8,"jika beli HANDUK KARAKTER ANAK, maka beli SELIMUT KARAKTER ANAK",0.015384615384615385,1.0
11,"jika beli CLUNNY SET, maka beli PISAU SET GSF",0.015384615384615385,1.0
13,"jika beli GAGANG SUPERMOP, maka beli PISAU SET GSF",0.015384615384615385,1.0
16,"jika beli DIPAN 160 MINIMALIS, maka beli TOPLES 16L",0.015384615384615385,1.0
17,"jika beli TOPLES 16L, maka beli DIPAN 160 MINIMALIS",0.015384615384615385,1.0
18,"jika beli DIPAN 160 MINIMALIS, maka beli MUKENA TERUSAN FATIMAH",0.015384615384615385,1.0
19,"jika beli MUKENA TERUSAN FATIMAH, maka beli DIPAN 160 MINIMALIS",0.015384615384615385,1.0
20,"jika beli TOPLES 16L, maka beli MUKENA TERUSAN FATIMAH",0.015384615384615385,1.0
21,"jika beli MUKENA TERUSAN FATIMAH, maka beli TOPLES 16L",0.015384615384615385,1.0
25,"jika beli BOX CONTAINER, maka beli RAK SEPATU PORTABLE GENEVA 5SN",0.015384615384615385,1.0
27,"jika beli BOX CONTAINER, maka beli STIKER MOMO",0.015384615384615385,1.0
29,"jika beli RAK SET GANTUNG 3IN1, maka beli STIKER MOMO",0.015384615384615385,1.0
31,"jika beli NAMPAN 4 SEDENG, maka beli STIKER MOMO",0.015384615384615385,1.0
34,"jika beli RAK SET GANTUNG 3IN1, maka beli NAMPAN 4 SEDENG",0.015384615384615385,1.0
35,"jika beli NAMPAN 4 SEDENG, maka beli RAK SET GANTUNG 3IN1",0.015384615384615385,1.0
36,"jika beli RAK SET GANTUNG 3IN1, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
38,"jika beli NAMPAN 4 SEDENG, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
49,"jika beli RANTANG JAGO STENLIS, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
55,"jika beli KOK, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
56,"jika beli BOTOL ENJOYLIFE, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
57,"jika beli PEL PELAN NAGOYA, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
58,"jika beli BOTOL ENJOYLIFE, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
59,"jika beli EMBER 23 REDHOUSE, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
60,"jika beli BOTOL ENJOYLIFE, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
61,"jika beli TREMOS ELEPHANT, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
62,"jika beli PEL PELAN NAGOYA, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
63,"jika beli EMBER 23 REDHOUSE, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
64,"jika beli PEL PELAN NAGOYA, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
65,"jika beli TREMOS ELEPHANT, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
66,"jika beli EMBER 23 REDHOUSE, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
67,"jika beli TREMOS ELEPHANT, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
68,"jika beli GELAS CANTEL POLOS JUMBO, maka beli POMPA GALON ELEKTRIK GSF",0.015384615384615385,1.0
69,"jika beli POMPA GALON ELEKTRIK GSF, maka beli GELAS CANTEL POLOS JUMBO",0.015384615384615385,1.0
70,"jika beli GELAS CANTEL POLOS JUMBO, maka beli GELAS CANTEL JEMPOL",0.015384615384615385,1.0
71,"jika beli GELAS CANTEL JEMPOL, maka beli GELAS CANTEL POLOS JUMBO",0.015384615384615385,1.0
72,"jika beli POMPA GALON ELEKTRIK GSF, maka beli GELAS CANTEL JEMPOL",0.015384615384615385,1.0
73,"jika beli GELAS CANTEL JEMPOL, maka beli POMPA GALON ELEKTRIK GSF",0.015384615384615385,1.0
74,"jika beli SPRINGBED BIGDREAM 180, maka beli TEPUNG IRUT",0.015384615384615385,1.0
77,"jika beli KARPET METERAN, maka beli CUTER TRANSPARAN",0.015384615384615385,1.0
89,"jika beli MINYAK KITA 1L, maka beli CUTER TRANSPARAN",0.015384615384615385,1.0
90,"jika beli KARPET METERAN, maka beli LEMARI GMCC TIREX 3SSN",0.015384615384615385,1.0
95,"jika beli KOMPOR 2 TUNGKU HCM STENLIS, maka beli MAINAN TARIK",0.015384615384615385,1.0
97,"jika beli KOMPOR 2 TUNGKU HCM STENLIS, maka beli BATU BATRAI DYNAMAX",0.015384615384615385,1.0
98,"jika beli CLUNNY SET, maka beli GAGANG SUPERMOP",0.015384615384615385,1.0
99,"jika beli GAGANG SUPERMOP, maka beli CLUNNY SET",0.015384615384615385,1.0
100,"jika beli PIRING ROTAN PLASTIK, maka beli TIKAR ISTANA JUMBO",0.015384615384615385,1.0
101,"jika beli TIKAR ISTANA JUMBO, maka beli PIRING ROTAN PLASTIK",0.015384615384615385,1.0
103,"jika beli RANTANG JAGO STENLIS, maka beli SPREI MY LOVE 180 30CM",0.015384615384615385,1.0
107,"jika beli MINYAK KITA 1L, maka beli MAWAR LAUNDRY REFILL",0.015384615384615385,1.0
113,"jika beli KOK, maka beli AGAR-AGAR INACO 1 KG",0.015384615384615385,1.0
